batter,pitcher,batTeam,fldTeam,path,outcome,bb
808975,645261,LAD,MIA,03455,Out,F
701762,682243,OAK,SEA,0,Out,F
663457,666214,STL,PIT,014558b,K,
572191,666142,CHW,KCR,0347ab,K,
672724,601713,NYY,SDP,03458,K,
657077,663903,ATL,CIN,0369ab,2B,G
663604,607074,SDP,NYY,0345,Out,G
669257,663969,LAD,MIA,0345,Out,F
676572,676508,MIA,LAD,0122,K,
682998,656288,ARI,NYM,012588,Out,F
805779,682243,OAK,SEA,0345,1B,L
665742,669194,NYM,ARI,0369,BB,
661388,669854,MIL,HOU,0,1B,L
665161,668964,HOU,MIL,0345,Out,F
686555,669854,MIL,HOU,012,K,
673548,694738,CHC,SFG,036,Out,L
669707,571945,PIT,STL,01258,Out,G
671218,571510,SFG,CHC,036,Out,P
664728,681343,KCR,CHW,03,Out,L
687363,669387,STL,PIT,03458,K,
624424,645261,LAD,MIA,0347abb,Out,G
665742,674072,NYM,ARI,0347ab,Out,G
680574,700363,CIN,ATL,012258b,Out,F
621035,663969,LAD,MIA,01478b,2B,L
669065,676508,MIA,LAD,01258bb,BB,
642180,607074,SDP,NYY,012,K,
668709,682243,OAK,SEA,012588b,2B,L
666023,681343,KCR,CHW,0,Out,F
672820,666142,CHW,KCR,01222,1B,L
663656,694738,CHC,SFG,0,Out,G
669224,601713,NYY,SDP,0,1B,L
694192,669854,MIL,HOU,0,Out,F
671732,672841,OAK,SEA,03455,Out,L
596019,669194,NYM,ARI,01,Out,F
683766,571510,SFG,CHC,0,Out,L
683011,601713,NYY,SDP,034,Out,F
672275,571510,SFG,CHC,0347abbb,K,
687401,669854,MIL,HOU,01,2B,F
671221,681343,KCR,CHW,036788,K,
669397,663903,ATL,CIN,0125,1B,L
643289,668964,HOU,MIL,012,K,
672695,656288,ARI,NYM,01458,K,
664023,694738,CHC,SFG,01,HR,F
676480,666214,STL,PIT,012,K,
502054,571945,PIT,STL,03458,K,
553869,607074,SDP,NYY,03478b,1B,G
621438,669194,NYM,ARI,0,3B,L
660844,622663,SEA,OAK,03458b,BB,
686780,669387,STL,PIT,0147,HBP,
681584,668970,SFG,CHC,014,Out,G
670032,694738,CHC,SFG,012,Out,G
681962,669854,MIL,HOU,01,Out,G
643446,669194,NYM,ARI,034,Out,F
596019,674072,NYM,ARI,0345,Out,G
668709,663423,OAK,SEA,03,Out,F
701358,668964,HOU,MIL,0,Out,F
687363,666214,STL,PIT,01458b,K,
641355,601713,NYY,SDP,01455558,K,
641943,666142,CHW,KCR,03678bbb,Out,G
518692,663969,LAD,MIA,0345,1B,L
663656,806185,CHC,SFG,0347ab,BB,
702332,669854,MIL,HOU,0369,BB,
649966,672841,OAK,SEA,012588bb,1B,G
670770,700363,CIN,ATL,01,Out,G
681624,645261,LAD,MIA,01222,Out,L
673548,702352,CHC,SFG,0345,Out,P
642201,663903,ATL,CIN,0,Out,F
687401,656986,MIL,HOU,012,K,
676694,668964,HOU,MIL,01,Out,L
669127,682243,OAK,SEA,0369abb,Out,L
621020,694738,CHC,SFG,01258,2B,G
669127,663423,OAK,SEA,01478b,BB,
671739,663903,ATL,CIN,01458,K,
691016,662253,OAK,SEA,012,K,
669364,676508,MIA,LAD,03458,K,
677950,656288,ARI,NYM,03,Out,G
682641,668970,SFG,CHC,03,Out,G
682626,669194,NYM,ARI,03,Out,L
686681,681343,KCR,CHW,012,Out,F
669357,669387,STL,PIT,03,Out,F
701305,668964,HOU,MIL,0369a,Out,P
682997,700363,CIN,ATL,014,Out,G
663728,695243,SEA,OAK,0122555,K,
624428,571945,PIT,STL,03458b,Out,F
666023,673965,KCR,CHW,03458bb,Out,P
621438,674072,NYM,ARI,01,Out,G
621035,666277,LAD,MIA,0367ab,K,
666971,656288,ARI,NYM,0367ab,K,
527038,668970,SFG,CHC,034,1B,L
660757,607074,SDP,NYY,012,Out,F
668901,669194,NYM,ARI,036,Out,F
681962,656986,MIL,HOU,03,1B,L
575929,669387,STL,PIT,0345555888,Out,F
667670,662253,OAK,SEA,0367ab,K,
665742,657044,NYM,ARI,01458b,2B,F
810938,622663,SEA,OAK,034555,K,
663656,702352,CHC,SFG,036,Out,L
641343,669854,MIL,HOU,0,1B,G
810938,680880,SEA,OAK,03,1B,F
605141,663969,LAD,MIA,0347a,1B,G
681584,571510,SFG,CHC,0125,HBP,
571970,645261,LAD,MIA,01455,K,
682668,674072,NYM,ARI,012,HBP,
686780,666214,STL,PIT,01222,2B,G
702332,656986,MIL,HOU,0125,Out,F
669289,700363,CIN,ATL,01,Out,F
672580,681343,KCR,CHW,0369ab,K,
656555,669854,MIL,HOU,0345,K,
663538,694738,CHC,SFG,0125,Out,L
689172,668970,SFG,CHC,01455888,Out,F
664023,806185,CHC,SFG,036,Out,F
670156,680880,SEA,OAK,0345,K,
645277,663903,ATL,CIN,034,Out,F
607043,669194,NYM,ARI,03478bbb,BB,
691594,676508,MIA,LAD,0147,Out,L
669134,607074,SDP,NYY,01458,K,
660644,702352,CHC,SFG,03,Out,G
668901,666661,NYM,ARI,0122555588bb,Out,F
641584,700363,CIN,ATL,0,Out,F
502671,601713,NYY,SDP,0367ab,K,
668709,676092,OAK,SEA,012588b,Out,L
621566,605130,ATL,CIN,03458,Out,G
673237,668964,HOU,MIL,012555555,Out,L
664913,663423,OAK,SEA,0,1B,G
682641,571510,SFG,CHC,012,K,
663886,700363,CIN,ATL,01,Out,F
683734,666142,CHW,KCR,0145,K,
673237,681982,HOU,MIL,0145588b,Out,G
701762,672841,OAK,SEA,01,Out,P
691016,663423,OAK,SEA,034,Out,G
609280,682243,OAK,SEA,014558bb,Out,F
663647,571945,PIT,STL,0,Out,G
682626,674072,NYM,ARI,0367,Out,G
650333,642207,SDP,NYY,0369,BB,
665839,571945,PIT,STL,01,Out,F
641343,656986,MIL,HOU,01478,1B,L
677594,695243,SEA,OAK,0147ab,BB,
518692,666277,LAD,MIA,0,Out,G
670032,702352,CHC,SFG,03,Out,G
660271,663969,LAD,MIA,01,Out,F
669221,663903,ATL,CIN,01,Out,G
592885,669854,MIL,HOU,01222558,Out,F
672515,656288,ARI,NYM,01,Out,G
670032,806185,CHC,SFG,0367a,BB,
691718,694738,CHC,SFG,014,Out,P
669357,666214,STL,PIT,01458b,BB,
668804,664854,PIT,STL,01458b,K,
677950,623211,ARI,NYM,0347,Out,F
668715,700363,CIN,ATL,012,K,
669257,645261,LAD,MIA,0125,K,
671732,662253,OAK,SEA,0125,K,
668715,660853,CIN,ATL,03,Out,G
671221,673965,KCR,CHW,0145,2B,L
643289,606303,HOU,MIL,014,Out,F
805779,672841,OAK,SEA,03,Out,G
642133,680880,SEA,OAK,0367,1B,G
605141,666277,LAD,MIA,0125,Out,L
596019,657044,NYM,ARI,01225,HR,F
663743,676508,MIA,LAD,014,Out,P
670156,622663,SEA,OAK,012,K,
593428,607074,SDP,NYY,0147,Out,G
663698,571945,PIT,STL,0147a,BB,
606466,673380,ARI,NYM,03478b,BB,
666023,685126,KCR,CHW,012258b,Out,L
668804,681517,PIT,STL,03,Out,L
808975,663969,LAD,MIA,012,1B,F
667670,663423,OAK,SEA,0,Out,G
521692,681343,KCR,CHW,0345,K,
621566,663903,ATL,CIN,036,Out,G
553993,656288,ARI,NYM,01,1B,L
527038,571510,SFG,CHC,0125,Out,L
621020,702352,CHC,SFG,0,2B,F
673357,666142,CHW,KCR,0125,K,
641355,669093,NYY,SDP,01258,Out,F
668709,672841,OAK,SEA,03678b,BB,
663538,702352,CHC,SFG,01,Out,G
671732,663423,OAK,SEA,0147,Out,G
542303,605130,ATL,CIN,014,Out,F
666158,660853,CIN,ATL,0367abbb,BB,
665487,642207,SDP,NYY,0145,K,
676480,663767,STL,PIT,0,2B,L
668901,674072,NYM,ARI,034788,Out,L
665833,681517,PIT,STL,01458,K,
700250,601713,NYY,SDP,0,2B,G
701358,606303,HOU,MIL,03678,K,
660757,596133,SDP,NYY,034788,Out,G
608348,694738,CHC,SFG,0125,Out,G
687363,663767,STL,PIT,0,1B,L
641487,663687,SEA,OAK,03,Out,L
642133,622663,SEA,OAK,01,Out,G
681393,489446,MIA,LAD,03,Out,F
688363,676508,MIA,LAD,03458b,BB,
663647,664208,PIT,STL,01458,K,
666158,700363,CIN,ATL,0369,BB,
665161,657649,HOU,MIL,036788bb,Out,G
647304,656288,ARI,NYM,03455,Out,G
666971,657585,ARI,NYM,036,Out,P
669127,676092,OAK,SEA,01,Out,L
669224,673513,NYY,SDP,03478,Out,F
683734,670167,CHW,KCR,012,K,
621020,806185,CHC,SFG,034,Out,G
691718,702352,CHC,SFG,012,K,
660271,666277,LAD,MIA,014588,K,
606192,645261,LAD,MIA,034,2B,L
808982,668970,SFG,CHC,01222255,Out,L
666971,623211,ARI,NYM,0,Out,F
663728,680880,SEA,OAK,0367a,BB,
516782,669194,NYM,ARI,0347,Out,G
656555,656986,MIL,HOU,01,2B,L
686780,663767,STL,PIT,0,1B,F
542303,663903,ATL,CIN,0147ab,BB,
624424,663969,LAD,MIA,034,1B,L
686681,673965,KCR,CHW,01455,Out,F
571448,669387,STL,PIT,01,1B,L
676572,623465,MIA,LAD,034,Out,G
592450,601713,NYY,SDP,0347abbbb,BB,
660821,489446,MIA,LAD,0367abb,K,
621438,657044,NYM,ARI,0367,2B,L
669357,663767,STL,PIT,01,1B,L
663728,622663,SEA,OAK,0147ab,BB,
686469,681343,KCR,CHW,014,Out,L
672515,623211,ARI,NYM,0367,Out,G
641598,663687,SEA,OAK,0345888,Out,P
663757,686701,NYY,SDP,01478bb,Out,F
656305,571510,SFG,CHC,034,1B,G
663586,605130,ATL,CIN,01258b,Out,F
593871,695243,SEA,OAK,03,Out,F
592518,607074,SDP,NYY,012,K,
682927,672782,MIA,LAD,0125,Out,G
700337,663738,CHW,KCR,014,Out,P
691176,663158,NYY,SDP,01225,K,
700337,666142,CHW,KCR,0345,K,
609280,676092,OAK,SEA,0145,Out,F
680977,621366,STL,PIT,01,Out,G
592885,656986,MIL,HOU,01478b,BB,
665833,664854,PIT,STL,0,1B,G
680977,669387,STL,PIT,0369a,Out,F
686469,592155,KCR,CHW,0125,K,
457705,571945,PIT,STL,012,Out,P
663604,642207,SDP,NYY,012,1B,L
691016,682243,OAK,SEA,03678,1B,G
672515,657585,ARI,NYM,0345,K,
649966,663423,OAK,SEA,01258,1B,L
572233,681982,HOU,MIL,036,1B,G
572233,668964,HOU,MIL,03678,K,
575929,666214,STL,PIT,0347,Out,G
682998,621242,ARI,NYM,012,K,
575929,663767,STL,PIT,034558,HR,L
682998,673380,ARI,NYM,01478b,BB,
641487,695243,SEA,OAK,0367a,BB,
