batter,pitcher,batTeam,fldTeam,path,outcome,bb
661388,684007,MIL,CHC,0369,BB,
680776,663978,BOS,MIN,034,Out,P
665487,571760,SDP,PIT,0147abb,Out,G
641355,671737,NYY,TBR,036,HR,F
680977,656731,STL,NYM,0,HBP,
670224,701542,TBR,NYY,0145,Out,G
575929,694918,STL,NYM,01225,1B,L
609280,665795,OAK,MIA,01458b,BB,
682998,624133,ARI,PHI,03458b,1B,G
571912,502043,KCR,BAL,03458b,Out,F
676480,656731,STL,NYM,0345,K,
660844,594798,SEA,TEX,03455,Out,F
695578,607259,WSN,CIN,012,2B,L
664023,642547,CHC,MIL,01,Out,P
623993,676440,TOR,CLE,0347,Out,G
669065,676664,MIA,OAK,0,Out,L
607043,607200,NYM,STL,0,Out,G
678882,663978,BOS,MIN,0,Out,F
607043,700241,NYM,STL,0,Out,F
